Position_Rank,Name,Team,Position,Field_Goals_Attempted,Field_Goals_Made,Field_Goal_Percentage,Extra_Points_Attempted,Extra_Points_Made,Extra_Points_Percentage
8,Adam Vinatieri,IND,K,27,23,85.20,47,44,93.60
14,Aldrick Rosas,NYG,K,33,32,97.00,32,31,96.90
20,Brandon McManus,DEN,K,25,20,80.00,35,35,100.00
9,Brett Maher,DAL,K,36,29,80.60,33,32,97.00
23,Chandler Catanzaro,2TM,K,20,16,80.00,35,30,85.70
19,Chris Boswell,PIT,K,20,13,65.00,48,43,89.60
28,Cody Parkey,CHI,K,30,23,76.70,45,42,93.30
18,Dan Bailey,MIN,K,28,21,75.00,31,30,96.80
17,Daniel Carlson,2TM,K,21,17,81.00,24,24,100.00
26,Dustin Hopkins,WAS,K,29,26,89.70,26,25,96.20
15,Graham Gano,CAR,K,16,14,87.50,33,30,90.90
27,Greg Joseph,CLE,K,20,17,85.00,29,25,86.20
1,Greg Zuerlein,LAR,K,31,27,87.10,36,35,97.20
3,Harrison Butker,KAN,K,27,24,88.90,69,65,94.20
11,Jake Elliott,PHI,K,31,26,83.90,35,33,94.30
16,Jason Myers,SEA,K,36,33,91.70,33,30,90.90
24,Jason Sanders,MIA,K,20,18,90.00,36,35,97.20
22,Josh Lambo,JAX,K,21,19,90.50,20,19,95.00
2,Justin Tucker,BAL,K,39,35,89.70,37,36,97.30
6,Ka'imi Fairbairn,HOU,K,42,37,88.10,41,39,95.10
12,Mason Crosby,GB,K,37,30,81.10,36,34,94.40
10,Matt Prater,DET,K,32,28,87.50,30,30,100.00
25,Randy Bullock,CIN,K,23,19,82.60,41,39,95.10
7,Robbie Gould,SF,K,34,33,97.10,29,27,93.10
13,Ryan Succop,TEN,K,30,26,86.70,31,28,90.30
29,Sebastian Janikowski,SEA,K,27,22,81.50,51,48,94.10
4,Stephen Gostkowski,NE,K,32,27,84.40,50,49,98.00
21,Stephen Hauschka,BUF,K,28,22,78.60,26,25,96.20
5,Wil Lutz,NO,K,30,28,93.30,53,52,98.10
