Position_Rank,Name,Team,Position,Field_Goals_Attempted,Field_Goals_Made,Field_Goal_Percentage,Extra_Points_Attempted,Extra_Points_Made,Extra_Points_Percentage
8,Adam Vinatieri,IND,K,27,23,85.2,47,44,93.6
14,Aldrick Rosas,NYG,K,33,32,97,32,31,96.9
20,Brandon McManus,DEN,K,25,20,80,35,35,100
9,Brett Maher,DAL,K,36,29,80.6,33,32,97
23,Chandler Catanzaro,2TM,K,20,16,80,35,30,85.7
19,Chris Boswell,PIT,K,20,13,65,48,43,89.6
28,Cody Parkey,CHI,K,30,23,76.7,45,42,93.3
18,Dan Bailey,MIN,K,28,21,75,31,30,96.8
17,Daniel Carlson,2TM,K,21,17,81,24,24,100
26,Dustin Hopkins,WAS,K,29,26,89.7,26,25,96.2
15,Graham Gano,CAR,K,16,14,87.5,33,30,90.9
27,Greg Joseph,CLE,K,20,17,85,29,25,86.2
1,Greg Zuerlein,LAR,K,31,27,87.1,36,35,97.2
3,Harrison Butker,KAN,K,27,24,88.9,69,65,94.2
11,Jake Elliott,PHI,K,31,26,83.9,35,33,94.3
16,Jason Myers,SEA,K,36,33,91.7,33,30,90.9
24,Jason Sanders,MIA,K,20,18,90,36,35,97.2
22,Josh Lambo,JAX,K,21,19,90.5,20,19,95
2,Justin Tucker,BAL,K,39,35,89.7,37,36,97.3
6,Ka'imi Fairbairn,HOU,K,42,37,88.1,41,39,95.1
12,Mason Crosby,GB,K,37,30,81.1,36,34,94.4
10,Matt Prater,DET,K,32,28,87.5,30,30,100
25,Randy Bullock,CIN,K,23,19,82.6,41,39,95.1
7,Robbie Gould,SF,K,34,33,97.1,29,27,93.1
13,Ryan Succop,TEN,K,30,26,86.7,31,28,90.3
29,Sebastian Janikowski,SEA,K,27,22,81.5,51,48,94.1
4,Stephen Gostkowski,NE,K,32,27,84.4,50,49,98
21,Stephen Hauschka,BUF,K,28,22,78.6,26,25,96.2
5,Wil Lutz,NO,K,30,28,93.3,53,52,98.1
