Position_Rank,Name,Team,Position,Receptions,Receiving_Yards,Receiving_Touchdowns,Yards_Per_Reception,Receptions_Per_Game,Receiving_Yards_Per_Game
11,Austin Hooper,ATL,TE,71,660,4,9.3,4.4,41.3
19,Ben Watson,NO,TE,35,400,2,11.4,2.2,25
16,Chris Herndon,NYJ,TE,39,502,4,12.9,2.4,31.4
18,Dallas Goedert,PHI,TE,33,334,4,10.1,2.1,20.9
8,David Njoku,CLE,TE,56,639,4,11.4,3.5,39.9
9,Eric Ebron,IND,TE,66,750,13,11.4,4.1,46.9
4,Evan Engram,NYG,TE,45,577,3,12.8,4.1,52.5
3,George Kittle,SF,TE,88,1377,5,15.6,5.5,86.1
12,Greg Olsen,CAR,TE,27,291,4,10.8,3,32.3
23,Ian Thomas,CAR,TE,36,333,2,9.3,2.3,20.8
6,Jared Cook,OAK,TE,68,896,6,13.2,4.3,56
15,Jimmy Graham,GB,TE,55,636,2,11.6,3.4,39.8
14,Jordan Reed,WAS,TE,54,558,2,10.3,4.2,42.9
13,Kyle Rudolph,MIN,TE,64,634,4,9.9,4,39.6
17,Mark Andrews,BAL,TE,34,552,3,16.2,2.1,34.5
5,O.J. Howard,TB,TE,34,565,5,16.6,3.4,56.5
1,Travis Kelce,KAN,TE,103,1336,10,13,6.4,83.5
10,Trey Burton,CHI,TE,54,569,6,10.5,3.4,35.6
21,Tyler Higbee,LAR,TE,24,292,2,12.2,1.5,18.3
7,Vance McDonald,PIT,TE,50,610,4,12.2,3.3,40.7
20,Vernon Davis,WAS,TE,25,367,2,14.7,1.8,26.2
2,Zach Ertz,PHI,TE,116,1163,8,10,7.3,72.7
