Position_Rank,Name,Team,Position,Receptions,Receiving_Yards,Receiving_Touchowns,Yards_Per_Reception,Receptions_Per_Game,Receiving _Yards_Per_Game
15,A.J. Green,CIN,WR,46,694,6,15.1,5.1,77.1
44,Adam Humphries,TB,WR,76,816,5,10.7,4.8,51
14,Adam Thielen,MIN,WR,113,1373,9,12.2,7.1,85.8
26,Allen Robinson,CHI,WR,55,754,4,13.7,4.2,58
20,Alshon Jeffery,PHI,WR,65,843,6,13,5,64.8
12,Amari Cooper,DAL,WR,75,1005,7,13.4,5,67
7,Antonio Brown,PIT,WR,104,1297,15,12.5,6.9,86.5
51,Antonio Callaway,CLE,WR,43,586,5,13.6,2.7,36.6
16,Brandin Cooks,LAR,WR,80,1204,5,15.1,5,75.3
27,Calvin Ridley,ATL,WR,64,821,10,12.8,4,51.3
22,Chris Godwin,TB,WR,59,842,7,14.3,3.7,52.6
33,Christian Kirk,ARI,WR,43,590,3,13.7,3.6,49.2
48,Cole Beasley,DAL,WR,65,672,3,10.3,4.1,42
19,Cooper Kupp,LAR,WR,40,566,6,14.2,5,70.8
34,Corey Davis,TEN,WR,65,891,4,13.7,4.1,55.7
37,Courtland Sutton,DEN,WR,42,704,4,16.8,2.6,44
25,D.J. Moore,CAR,WR,55,788,2,14.3,3.4,49.3
53,Danny Amendola,MIA,WR,59,575,1,9.7,3.9,38.3
1,Davante Adams,GB,WR,111,1386,13,12.5,7.4,92.4
2,DeAndre Hopkins,HOU,WR,115,1572,11,13.7,7.2,98.3
32,Dede Westbrook,JAX,WR,66,717,5,10.9,4.1,44.8
39,DeSean Jackson,TB,WR,41,774,4,18.9,3.4,64.5
43,Devin Funchess,CAR,WR,44,549,4,12.5,3.1,39.2
40,Donte Moncrief,JAX,WR,48,668,3,13.9,3,41.8
38,Emmanuel Sanders,DEN,WR,71,868,4,12.2,5.9,72.3
35,Golden Tate,DET,WR,74,795,4,10.7,4.9,53
28,Jarvis Landry,CLE,WR,81,976,4,12,5.1,61
8,JuJu Smith-Schuster,PIT,WR,111,1426,7,12.8,6.9,89.1
13,Julian Edelman,NE,WR,74,850,6,11.5,6.2,70.8
4,Julio Jones,ATL,WR,113,1677,8,14.8,7.1,104.8
9,Keenan Allen,LAC,WR,97,1196,6,12.3,6.1,74.8
21,Kenny Golladay,DET,WR,70,1063,5,15.2,4.7,70.9
45,Kenny Stills,MIA,WR,37,553,6,14.9,2.5,36.9
36,Larry Fitzgerald,ARI,WR,69,734,6,10.6,4.3,45.9
42,Marquez Valdes-Scantling,GB,WR,38,581,2,15.3,2.4,36.3
3,Michael Thomas,NO,WR,125,1405,9,11.2,7.8,87.8
10,Mike Evans,TB,WR,86,1524,8,17.7,5.4,95.3
30,Mike Williams,LAC,WR,43,664,10,15.4,2.7,41.5
46,Mohamed Sanu,ATL,WR,66,838,4,12.7,4.1,52.4
50,Nelson Agholor,PHI,WR,64,736,4,11.5,4,46
5,Odell Beckham,NYG,WR,77,1052,6,13.7,6.4,87.7
54,Rashard Higgins,CLE,WR,39,572,4,14.7,3,44
29,Robby Anderson,NYJ,WR,50,752,6,15,3.6,53.7
18,Robert Woods,LAR,WR,86,1219,6,14.2,5.4,76.2
17,Stefon Diggs,MIN,WR,102,1021,9,10,6.8,68.1
31,Sterling Shepard,NYG,WR,66,872,4,13.2,4.1,54.5
11,T.Y. Hilton,IND,WR,76,1270,6,16.7,5.4,90.7
52,Taylor Gabriel,CHI,WR,67,688,2,10.3,4.2,43
24,Tyler Boyd,CIN,WR,76,1028,7,13.5,5.4,73.4
23,Tyler Lockett,SEA,WR,57,965,10,16.9,3.6,60.3
6,Tyreek Hill,KAN,WR,87,1479,12,17,5.4,92.4
41,Tyrell Williams,LAC,WR,41,653,5,15.9,2.6,40.8
47,Willie Snead,BAL,WR,62,651,1,10.5,3.9,40.7
49,Zay Jones,BUF,WR,56,652,7,11.6,3.5,40.8
